No,Plot,Subplot,Species,Light_ISF,Light_Cat,Core,Soil,Adult,Sterile,Conspecific,Myco,SoilMyco,PlantDate,AMF,EMF,Phenolics,Lignin,NSC,Census,Time,Event,Harvest,Alive
5436,13,D,Prunus serotina,0.086,Med,2017,Prunus serotina,G,Non-Sterile,Conspecific,AMF,AMF,6/7/18,22.89,NA,0.19,10.49,13.72,11,38.5,1,0,Dead
4546,11,E,Quercus alba,0.068,Low,2017,Quercus rubra,1595,Non-Sterile,Heterospecific,EMF,EMF,5/25/18,19,33.28,4.85,25.21,15.67,20,70,1,0,Dead
5461,13,B,Prunus serotina,0.093,Med,2017,Prunus serotina,I,Non-Sterile,Conspecific,AMF,AMF,6/7/18,22.16,NA,0.19,10.53,13.99,11,38.5,1,0,Dead
4552,11,D,Quercus rubra,0.05,Low,2017,Prunus serotina,I,Non-Sterile,Heterospecific,EMF,AMF,6/15/18,15.11,19.98,2.42,23.34,12.3,33,115.5,0,0,Alive
4558,11,B,Quercus rubra,0.055,Low,2017,Acer saccharum,561,Non-Sterile,Heterospecific,EMF,AMF,5/30/18,30.61,32.86,3.91,27.28,15.18,19,66.5,1,0,Dead
5498,13,B,Prunus serotina,0.093,Med,2017,Prunus serotina,J,Non-Sterile,Conspecific,AMF,AMF,6/7/18,22.16,NA,0.19,10.53,13.99,11,38.5,1,0,Dead
5528,13,B,Prunus serotina,0.093,Med,2017,Prunus serotina,689,Non-Sterile,Conspecific,AMF,AMF,6/7/18,22.16,NA,0.19,10.53,13.99,11,38.5,1,0,Dead
4561,11,B,Quercus rubra,0.055,Low,2017,Quercus rubra,1595,Non-Sterile,Conspecific,EMF,EMF,5/24/18,12.68,17.24,2.36,25.86,11.26,33,115.5,0,0,Alive
5538,13,D,Prunus serotina,0.086,Med,2016,Acer saccharum,561,Non-Sterile,Heterospecific,AMF,AMF,6/7/18,35.87,NA,0.72,10.36,13.55,11,38.5,1,0,Dead
5584,13,B,Prunus serotina,0.093,Med,2017,Quercus rubra,970,Non-Sterile,Heterospecific,AMF,EMF,6/7/18,40.21,NA,0.75,10.36,13.63,11,38.5,1,0,Dead
4566,11,D,Quercus rubra,0.05,Low,2017,Acer saccharum,1757,Non-Sterile,Heterospecific,EMF,AMF,5/30/18,23.44,40.82,3.82,26.95,14.67,19,66.5,1,0,Dead
5615,13,D,Prunus serotina,0.086,Med,2017,Prunus serotina,1027,Non-Sterile,Conspecific,AMF,AMF,6/7/18,22.89,NA,0.19,10.49,13.72,11,38.5,1,0,Dead
5787,14,A,Acer saccharum,0.06,Low,2017,Acer rubrum,50,Non-Sterile,Heterospecific,AMF,AMF,6/11/18,17.77,NA,-0.2,10.8,11.03,11,38.5,1,0,Dead
5942,14,B,Acer saccharum,0.074,Low,2017,Prunus serotina,J,Non-Sterile,Heterospecific,AMF,AMF,6/11/18,18.47,NA,-0.63,13.61,11.92,11,38.5,1,0,Dead
5959,14,B,Acer saccharum,0.074,Low,2017,Prunus serotina,I,Non-Sterile,Heterospecific,AMF,AMF,6/11/18,18.47,NA,-0.63,13.61,11.92,11,38.5,1,0,Dead
6270,15,B,Acer saccharum,0.11,Med,2016,Populus grandidentata,118,Non-Sterile,Heterospecific,AMF,EMF,6/11/18,15.14,NA,-0.04,13.23,12.2,11,38.5,1,0,Dead
6640,16,C,Acer saccharum,0.133,High,2016,Acer saccharum,961,Non-Sterile,Conspecific,AMF,AMF,6/11/18,19.54,NA,0.46,13.77,12.5,11,38.5,1,0,Dead
6744,16,D,Acer saccharum,0.133,High,2017,Prunus serotina,1027,Non-Sterile,Heterospecific,AMF,AMF,6/11/18,21.71,NA,-0.59,13.72,12.22,11,38.5,1,0,Dead
6861,16,B,Acer saccharum,0.105,Med,2017,Prunus serotina,H,Non-Sterile,Heterospecific,AMF,AMF,6/11/18,22.32,NA,-0.56,13.96,12.12,11,38.5,1,0,Dead
7170,17,B,Acer saccharum,0.111,Med,2017,Sterile,275,Sterile,Sterilized,AMF,Sterile,6/11/18,8.61,NA,0.1,12.12,12.1,11,38.5,1,0,Dead
7247,17,D,Acer saccharum,0.118,Med,2017,Prunus serotina,H,Non-Sterile,Heterospecific,AMF,AMF,6/11/18,25.33,NA,-0.75,12.88,12.14,11,38.5,1,0,Dead
4595,11,B,Quercus alba,0.055,Low,2017,Quercus rubra,921,Non-Sterile,Heterospecific,EMF,EMF,5/25/18,20.01,31.97,4.66,20.98,18.33,20,70,1,0,Dead
7424,18,A,Acer saccharum,0.141,High,2017,Quercus rubra,984,Non-Sterile,Heterospecific,AMF,EMF,6/11/18,14.28,NA,0.34,13.93,12.44,11,38.5,1,0,Dead
7508,18,A,Quercus rubra,0.141,High,2017,Quercus rubra,984,Non-Sterile,Conspecific,EMF,EMF,5/24/18,23.6,49.9,4.32,20.32,20.84,11,38.5,1,0,Dead
3,1,A,Prunus serotina,0.108,Med,2017,Prunus serotina,H,Non-Sterile,Conspecific,AMF,AMF,6/8/18,23.31,NA,0.2,10.42,13.92,12,42,1,0,Dead
4605,11,D,Quercus alba,0.05,Low,2017,Sterile,1297,Sterile,Sterilized,EMF,Sterile,5/17/18,9.44,4.87,2.38,18.81,18.49,33,115.5,0,0,Alive
4609,11,B,Quercus rubra,0.055,Low,2016,Quercus alba,415,Non-Sterile,Heterospecific,EMF,EMF,5/31/18,16.38,27.94,3.78,20.27,18.87,18,63,1,0,Dead
90,1,C,Prunus serotina,0.106,Med,2017,Acer saccharum,275,Non-Sterile,Heterospecific,AMF,AMF,6/8/18,40.94,NA,0.81,10.46,14.29,12,42,1,0,Dead
157,1,C,Prunus serotina,0.106,Med,2016,Populus grandidentata,118,Non-Sterile,Heterospecific,AMF,EMF,6/8/18,37.24,NA,0.6,9.8,12.17,12,42,1,0,Dead
188,1,E,Prunus serotina,0.098,Med,2016,Populus grandidentata,277,Non-Sterile,Heterospecific,AMF,EMF,6/8/18,37.78,NA,0.71,8.34,11.45,12,42,1,0,Dead
249,1,D,Prunus serotina,0.107,Med,2017,Prunus serotina,689,Non-Sterile,Conspecific,AMF,AMF,6/8/18,26.28,NA,0.19,10.56,13.97,12,42,1,0,Dead
4626,11,D,Quercus alba,0.05,Low,2017,Acer rubrum,1332,Non-Sterile,Heterospecific,EMF,AMF,5/25/18,23.54,37.17,4.31,19.4,20.31,20,70,1,0,Dead
251,1,D,Prunus serotina,0.107,Med,2017,Acer saccharum,961,Non-Sterile,Heterospecific,AMF,AMF,6/8/18,44.63,NA,0.82,10.1,13.63,12,42,1,0,Dead
4637,11,D,Quercus alba,0.05,Low,2017,Acer saccharum,275,Non-Sterile,Heterospecific,EMF,AMF,5/22/18,20.71,23.57,4.66,18.64,21.83,33,115.5,0,0,Alive
269,1,D,Prunus serotina,0.107,Med,2017,Populus grandidentata,285,Non-Sterile,Heterospecific,AMF,EMF,6/8/18,38.61,NA,0.67,9.22,11.93,12,42,1,0,Dead
325,1,B,Prunus serotina,0.1,Med,2017,Prunus serotina,I,Non-Sterile,Conspecific,AMF,AMF,6/8/18,22.84,NA,0.21,10.4,13.93,12,42,1,0,Dead
335,1,D,Prunus serotina,0.107,Med,2016,Acer saccharum,1330,Non-Sterile,Heterospecific,AMF,AMF,6/8/18,44.63,NA,0.82,10.1,13.63,12,42,1,0,Dead
357,1,D,Prunus serotina,0.107,Med,2017,Acer saccharum,561,Non-Sterile,Heterospecific,AMF,AMF,6/8/18,44.63,NA,0.82,10.1,13.63,12,42,1,0,Dead
360,1,D,Prunus serotina,0.107,Med,2016,Populus grandidentata,891,Non-Sterile,Heterospecific,AMF,EMF,6/8/18,38.61,NA,0.67,9.22,11.93,12,42,1,0,Dead
4648,11,B,Quercus rubra,0.055,Low,2017,Sterile,970,Sterile,Sterilized,EMF,Sterile,5/23/18,12.48,5.31,2.53,27.33,9.95,17,59.5,1,0,Dead
4650,11,B,Quercus alba,0.055,Low,2016,Populus grandidentata,891,Non-Sterile,Heterospecific,EMF,EMF,5/29/18,29.62,34.36,4.59,19.2,21.61,19,66.5,1,0,Dead
372,1,D,Prunus serotina,0.107,Med,2016,Prunus serotina,J,Non-Sterile,Conspecific,AMF,AMF,6/8/18,26.28,NA,0.19,10.56,13.97,12,42,1,0,Dead
393,1,D,Prunus serotina,0.107,Med,2017,Acer saccharum,1757,Non-Sterile,Heterospecific,AMF,AMF,6/8/18,44.63,NA,0.82,10.1,13.63,12,42,1,0,Dead
437,2,A,Prunus serotina,0.083,Med,2016,Quercus alba,1478,Non-Sterile,Heterospecific,AMF,EMF,6/7/18,24.39,NA,0.62,9.43,11.96,12,42,1,0,Dead
451,2,A,Prunus serotina,0.083,Med,2016,Populus grandidentata,1201,Non-Sterile,Heterospecific,AMF,EMF,6/7/18,37.18,NA,0.63,7.87,11.46,12,42,1,0,Dead
459,2,A,Prunus serotina,0.083,Med,2017,Quercus alba,1297,Non-Sterile,Heterospecific,AMF,EMF,6/7/18,24.39,NA,0.62,9.43,11.96,12,42,1,0,Dead
4665,11,B,Quercus alba,0.055,Low,2017,Sterile,1320,Sterile,Sterilized,EMF,Sterile,5/17/18,10.58,4.23,2.29,19.25,18.63,19,66.5,1,0,Dead
462,2,C,Prunus serotina,0.097,Med,2017,Acer saccharum,961,Non-Sterile,Heterospecific,AMF,AMF,6/7/18,43.67,NA,0.79,9.95,13.16,12,42,1,0,Dead
463,2,C,Prunus serotina,0.097,Med,2017,Quercus rubra,1595,Non-Sterile,Heterospecific,AMF,EMF,6/7/18,33.29,NA,0.57,10.94,13.76,12,42,1,0,Dead
4672,11,D,Quercus rubra,0.05,Low,2017,Sterile,921,Sterile,Sterilized,EMF,Sterile,5/23/18,11.48,3.33,2.54,26.12,11.05,33,115.5,0,0,Alive
476,2,A,Quercus rubra,0.083,Med,2016,Sterile,1454,Sterile,Sterilized,EMF,Sterile,5/23/18,4.89,3.78,3.39,24.95,14.51,12,42,1,0,Dead
483,2,C,Prunus serotina,0.097,Med,2017,Populus grandidentata,285,Non-Sterile,Heterospecific,AMF,EMF,6/7/18,36.14,NA,0.71,8.39,11.59,12,42,1,0,Dead
545,2,A,Prunus serotina,0.083,Med,2017,Quercus rubra,970,Non-Sterile,Heterospecific,AMF,EMF,6/7/18,41.92,NA,0.74,8.53,11.85,12,42,1,0,Dead
567,2,A,Prunus serotina,0.083,Med,2016,Populus grandidentata,118,Non-Sterile,Heterospecific,AMF,EMF,6/7/18,37.18,NA,0.63,7.87,11.46,12,42,1,0,Dead
571,2,C,Prunus serotina,0.097,Med,2017,Quercus rubra,1454,Non-Sterile,Heterospecific,AMF,EMF,6/7/18,33.29,NA,0.57,10.94,13.76,12,42,1,0,Dead
577,2,A,Prunus serotina,0.083,Med,2016,Populus grandidentata,394,Non-Sterile,Heterospecific,AMF,EMF,6/7/18,37.18,NA,0.63,7.87,11.46,12,42,1,0,Dead
4692,11,D,Quercus rubra,0.05,Low,2017,Sterile,1688,Sterile,Sterilized,EMF,Sterile,5/23/18,11.48,3.33,2.54,26.12,11.05,21,73.5,1,0,Dead
608,2,C,Prunus serotina,0.097,Med,2017,Quercus alba,1715,Non-Sterile,Heterospecific,AMF,EMF,6/7/18,29.61,NA,0.56,10.65,13.69,12,42,1,0,Dead
615,2,A,Prunus serotina,0.083,Med,2017,Acer saccharum,275,Non-Sterile,Heterospecific,AMF,AMF,6/7/18,31,NA,0.57,10.76,13.36,12,42,1,0,Dead
4698,11,D,Quercus alba,0.05,Low,2017,Quercus rubra,984,Non-Sterile,Heterospecific,EMF,EMF,5/25/18,21.36,32.42,4.76,19.11,22.08,33,115.5,0,0,Alive
641,2,E,Acer saccharum,0.118,Med,2017,Prunus serotina,J,Non-Sterile,Heterospecific,AMF,AMF,6/8/18,25.33,NA,-0.75,12.88,12.14,12,42,1,0,Dead
643,2,C,Prunus serotina,0.097,Med,2016,Acer saccharum,561,Non-Sterile,Heterospecific,AMF,AMF,6/7/18,43.67,NA,0.79,9.95,13.16,12,42,1,0,Dead
655,2,B,Acer saccharum,0.082,Med,2016,Prunus serotina,H,Non-Sterile,Heterospecific,AMF,AMF,6/8/18,21.02,NA,-0.63,14.18,12.41,12,42,1,0,Dead
666,2,D,Prunus serotina,0.1,Med,2016,Prunus serotina,689,Non-Sterile,Conspecific,AMF,AMF,6/8/18,22.84,NA,0.21,10.4,13.93,12,42,1,0,Dead
726,2,B,Prunus serotina,0.082,Med,2016,Prunus serotina,J,Non-Sterile,Conspecific,AMF,AMF,6/8/18,30.68,NA,0.38,9.31,11.9,12,42,1,0,Dead
754,2,D,Prunus serotina,0.1,Med,2017,Quercus rubra,1688,Non-Sterile,Heterospecific,AMF,EMF,6/7/18,32.05,NA,0.73,10.55,13.75,12,42,1,0,Dead
756,2,D,Prunus serotina,0.1,Med,2016,Quercus alba,415,Non-Sterile,Heterospecific,AMF,EMF,6/7/18,31.81,NA,0.71,10.3,13.48,12,42,1,0,Dead
4727,11,D,Quercus rubra,0.05,Low,2017,Quercus alba,1297,Non-Sterile,Heterospecific,EMF,EMF,5/31/18,18.87,26.49,3.84,23.21,16.67,18,63,1,0,Dead
4736,11,B,Quercus rubra,0.055,Low,2017,Sterile,1595,Sterile,Sterilized,EMF,Sterile,5/23/18,12.48,5.31,2.53,27.33,9.95,33,115.5,0,0,Alive
4738,11,B,Quercus alba,0.055,Low,2017,Acer saccharum,561,Non-Sterile,Heterospecific,EMF,AMF,5/22/18,19.17,25.9,4.73,18.57,22.51,21,73.5,1,0,Dead
4744,11,D,Quercus alba,0.05,Low,2017,Sterile,1205,Sterile,Sterilized,EMF,Sterile,5/17/18,9.44,4.87,2.38,18.81,18.49,33,115.5,0,0,Alive
762,2,B,Prunus serotina,0.082,Med,2017,Populus grandidentata,277,Non-Sterile,Heterospecific,AMF,EMF,6/7/18,41.69,NA,0.67,7.08,11.28,12,42,1,0,Dead
782,2,B,Acer saccharum,0.082,Med,2017,Prunus serotina,I,Non-Sterile,Heterospecific,AMF,AMF,6/8/18,21.02,NA,-0.63,14.18,12.41,12,42,1,0,Dead
796,2,B,Prunus serotina,0.082,Med,2017,Acer saccharum,1757,Non-Sterile,Heterospecific,AMF,AMF,6/7/18,44.69,NA,0.69,10.07,13,12,42,1,0,Dead
821,2,D,Prunus serotina,0.1,Med,2017,Prunus serotina,I,Non-Sterile,Conspecific,AMF,AMF,6/8/18,22.84,NA,0.21,10.4,13.93,12,42,1,0,Dead
824,2,D,Prunus serotina,0.1,Med,2017,Prunus serotina,G,Non-Sterile,Conspecific,AMF,AMF,6/8/18,22.84,NA,0.21,10.4,13.93,12,42,1,0,Dead
831,2,B,Prunus serotina,0.082,Med,2017,Populus grandidentata,891,Non-Sterile,Heterospecific,AMF,EMF,6/7/18,41.69,NA,0.67,7.08,11.28,12,42,1,0,Dead
845,2,D,Prunus serotina,0.1,Med,2017,Quercus rubra,921,Non-Sterile,Heterospecific,AMF,EMF,6/7/18,32.05,NA,0.73,10.55,13.75,12,42,1,0,Dead
877,3,C,Acer saccharum,0.103,Med,2017,Quercus alba,1205,Non-Sterile,Heterospecific,AMF,EMF,6/4/18,14.33,NA,-0.04,13.45,12.56,12,42,1,0,Dead
4757,12,A,Quercus rubra,0.063,Low,2017,Sterile,984,Sterile,Sterilized,EMF,Sterile,5/23/18,11.79,7.99,2.56,25.62,11.47,33,115.5,0,0,Alive
907,3,A,Prunus serotina,0.08,Med,2017,Sterile,1027,Sterile,Sterilized,AMF,Sterile,6/5/18,12.2,NA,0.07,7.43,11.6,12,42,1,0,Dead
4762,12,C,Quercus rubra,0.047,Low,2017,Sterile,1454,Sterile,Sterilized,EMF,Sterile,5/23/18,10.34,3.62,2.48,26.38,11.04,17,59.5,1,0,Dead
956,3,A,Prunus serotina,0.08,Med,2017,Sterile,J,Sterile,Sterilized,AMF,Sterile,6/5/18,12.2,NA,0.07,7.43,11.6,12,42,1,0,Dead
971,3,C,Prunus serotina,0.103,Med,2017,Acer rubrum,1384,Non-Sterile,Heterospecific,AMF,AMF,6/5/18,19.14,NA,0.34,10.75,13.6,12,42,1,0,Dead
981,3,A,Acer saccharum,0.08,Med,2016,Quercus alba,1478,Non-Sterile,Heterospecific,AMF,EMF,6/4/18,12.57,NA,-0.1,13.73,12.47,12,42,1,0,Dead
996,3,A,Prunus serotina,0.08,Med,2016,Acer rubrum,1332,Non-Sterile,Heterospecific,AMF,AMF,6/5/18,32.34,NA,0.37,8.48,11.26,12,42,1,0,Dead
4780,12,C,Quercus rubra,0.047,Low,2017,Prunus serotina,1027,Non-Sterile,Heterospecific,EMF,AMF,5/31/18,16.59,19.58,2.4,23.47,12.33,21,73.5,1,0,Dead
1044,3,C,Acer saccharum,0.103,Med,2016,Quercus rubra,1688,Non-Sterile,Heterospecific,AMF,EMF,6/4/18,12.55,NA,0.18,14.06,12.1,12,42,1,0,Dead
1066,3,A,Acer saccharum,0.08,Med,2017,Quercus alba,1297,Non-Sterile,Heterospecific,AMF,EMF,6/4/18,12.57,NA,-0.1,13.73,12.47,12,42,1,0,Dead
1077,3,C,Prunus serotina,0.103,Med,2017,Acer rubrum,50,Non-Sterile,Heterospecific,AMF,AMF,6/5/18,19.14,NA,0.34,10.75,13.6,12,42,1,0,Dead
1104,3,B,Acer saccharum,0.082,Med,2016,Quercus alba,415,Non-Sterile,Heterospecific,AMF,EMF,6/4/18,14.77,NA,-0.05,14.08,12.62,12,42,1,0,Dead
1127,3,D,Acer saccharum,0.087,Med,2017,Quercus rubra,921,Non-Sterile,Heterospecific,AMF,EMF,6/4/18,14.91,NA,0.31,13.94,12.3,12,42,1,0,Dead
1186,3,D,Acer saccharum,0.087,Med,2016,Quercus rubra,970,Non-Sterile,Heterospecific,AMF,EMF,6/4/18,14.91,NA,0.31,13.94,12.3,12,42,1,0,Dead
1248,3,B,Prunus serotina,0.082,Med,2017,Acer rubrum,1326,Non-Sterile,Heterospecific,AMF,AMF,6/5/18,20.45,NA,0.3,10.69,13.27,12,42,1,0,Dead
4809,12,A,Quercus rubra,0.063,Low,2017,Quercus rubra,970,Non-Sterile,Conspecific,EMF,EMF,5/24/18,18.62,13.78,2.42,26.84,9.78,23,80.5,1,0,Dead
1253,3,D,Prunus serotina,0.087,Med,2017,Sterile,G,Sterile,Sterilized,AMF,Sterile,6/5/18,8.73,NA,0.06,7.69,11.93,12,42,1,0,Dead
1255,3,D,Acer saccharum,0.087,Med,2017,Quercus rubra,984,Non-Sterile,Heterospecific,AMF,EMF,6/4/18,14.91,NA,0.31,13.94,12.3,12,42,1,0,Dead
1289,3,D,Acer saccharum,0.087,Med,2016,Quercus alba,1715,Non-Sterile,Heterospecific,AMF,EMF,6/4/18,13.4,NA,-0.02,13.88,12.46,12,42,1,0,Dead
2383,6,B,Quercus alba,0.092,Med,2017,Acer saccharum,275,Non-Sterile,Heterospecific,EMF,AMF,5/23/18,18.61,25.3,5.04,18.68,22.25,12,42,1,0,Dead
2610,7,C,Prunus serotina,0.082,Med,2017,Populus grandidentata,394,Non-Sterile,Heterospecific,AMF,EMF,6/8/18,41.69,NA,0.67,7.08,11.28,12,42,1,0,Dead
2636,7,A,Prunus serotina,0.078,Med,2016,Populus grandidentata,118,Non-Sterile,Heterospecific,AMF,EMF,6/8/18,32.66,NA,0.6,5.31,7.66,12,42,1,0,Dead
2659,7,C,Prunus serotina,0.082,Med,2016,Prunus serotina,1027,Non-Sterile,Conspecific,AMF,AMF,6/8/18,30.68,NA,0.38,9.31,11.9,12,42,1,0,Dead
4830,12,A,Quercus alba,0.063,Low,2016,Acer saccharum,1323,Non-Sterile,Heterospecific,EMF,AMF,5/22/18,21.41,33.31,4.78,26.68,14.82,33,115.5,0,0,Alive
2729,7,A,Prunus serotina,0.078,Med,2017,Prunus serotina,I,Non-Sterile,Conspecific,AMF,AMF,6/8/18,34.76,NA,0.46,8.54,11.6,12,42,1,0,Dead
2739,7,A,Prunus serotina,0.078,Med,2017,Acer saccharum,275,Non-Sterile,Heterospecific,AMF,AMF,6/8/18,34.41,NA,0.67,8.36,11.43,12,42,1,0,Dead
2761,7,A,Prunus serotina,0.078,Med,2016,Acer saccharum,961,Non-Sterile,Heterospecific,AMF,AMF,6/8/18,34.41,NA,0.67,8.36,11.43,12,42,1,0,Dead
2849,7,B,Prunus serotina,0.079,Med,2017,Acer saccharum,561,Non-Sterile,Heterospecific,AMF,AMF,6/8/18,37.6,NA,0.74,7.83,11.34,12,42,1,0,Dead
2930,7,D,Prunus serotina,0.08,Med,2016,Prunus serotina,J,Non-Sterile,Conspecific,AMF,AMF,6/8/18,29.88,NA,0.43,9.1,11.74,12,42,1,0,Dead
2992,7,B,Prunus serotina,0.079,Med,2016,Acer saccharum,1757,Non-Sterile,Heterospecific,AMF,AMF,6/8/18,37.6,NA,0.74,7.83,11.34,12,42,1,0,Dead
3008,7,B,Prunus serotina,0.079,Med,2016,Prunus serotina,689,Non-Sterile,Conspecific,AMF,AMF,6/8/18,34.48,NA,0.5,7.95,11.53,12,42,1,0,Dead
4852,12,C,Quercus rubra,0.047,Low,2016,Acer saccharum,1330,Non-Sterile,Heterospecific,EMF,AMF,5/31/18,21.96,41.98,3.84,27.2,14.78,18,63,1,0,Dead
3012,7,B,Prunus serotina,0.079,Med,2017,Populus grandidentata,277,Non-Sterile,Heterospecific,AMF,EMF,6/8/18,32.86,NA,0.63,5.48,9.77,12,42,1,0,Dead
3044,8,A,Prunus serotina,0.061,Low,2017,Quercus rubra,921,Non-Sterile,Heterospecific,AMF,EMF,6/7/18,34.46,NA,0.7,7.99,11.69,12,42,1,0,Dead
3074,8,C,Prunus serotina,0.061,Low,2016,Quercus alba,1478,Non-Sterile,Heterospecific,AMF,EMF,6/7/18,25.93,NA,0.6,6.97,11.03,12,42,1,0,Dead
3102,8,A,Prunus serotina,0.061,Low,2016,Populus grandidentata,118,Non-Sterile,Heterospecific,AMF,EMF,6/8/18,34.64,NA,0.51,5.38,6.91,12,42,1,0,Dead
3108,8,C,Prunus serotina,0.061,Low,2017,Quercus rubra,984,Non-Sterile,Heterospecific,AMF,EMF,6/7/18,34.46,NA,0.7,7.99,11.69,12,42,1,0,Dead
3129,8,C,Prunus serotina,0.061,Low,2016,Quercus alba,1320,Non-Sterile,Heterospecific,AMF,EMF,6/7/18,25.93,NA,0.6,6.97,11.03,12,42,1,0,Dead
3139,8,A,Prunus serotina,0.061,Low,2016,Acer saccharum,1330,Non-Sterile,Heterospecific,AMF,AMF,6/8/18,37.23,NA,0.67,6.94,11.23,12,42,1,0,Dead
3178,8,C,Prunus serotina,0.061,Low,2016,Quercus alba,415,Non-Sterile,Heterospecific,AMF,EMF,6/7/18,25.93,NA,0.6,6.97,11.03,12,42,1,0,Dead
3223,8,A,Prunus serotina,0.061,Low,2017,Prunus serotina,G,Non-Sterile,Conspecific,AMF,AMF,6/8/18,33.45,NA,0.41,5.28,7.01,12,42,1,0,Dead
3293,8,D,Prunus serotina,0.063,Low,2017,Prunus serotina,H,Non-Sterile,Conspecific,AMF,AMF,6/8/18,32.18,NA,0.39,5.18,6.74,12,42,1,0,Dead
3305,8,D,Prunus serotina,0.063,Low,2017,Prunus serotina,I,Non-Sterile,Conspecific,AMF,AMF,6/8/18,32.18,NA,0.39,5.18,6.74,12,42,1,0,Dead
3309,8,D,Acer saccharum,0.063,Low,2016,Quercus alba,415,Non-Sterile,Heterospecific,AMF,EMF,6/6/18,14.46,NA,-0.01,13.55,12.46,12,42,1,0,Dead
3317,8,B,Prunus serotina,0.066,Low,2016,Populus grandidentata,1201,Non-Sterile,Heterospecific,AMF,EMF,6/8/18,35.54,NA,0.53,5.37,7.05,12,42,1,0,Dead
3406,8,B,Prunus serotina,0.066,Low,2016,Acer saccharum,1323,Non-Sterile,Heterospecific,AMF,AMF,6/8/18,38.77,NA,0.7,6.94,11.21,12,42,1,0,Dead
4906,12,C,Quercus rubra,0.047,Low,2017,Sterile,921,Sterile,Sterilized,EMF,Sterile,5/23/18,10.34,3.62,2.48,26.38,11.04,17,59.5,1,0,Dead
3409,8,B,Prunus serotina,0.066,Low,2016,Populus grandidentata,285,Non-Sterile,Heterospecific,AMF,EMF,6/8/18,35.54,NA,0.53,5.37,7.05,12,42,1,0,Dead
3480,9,A,Acer saccharum,0.065,Low,2017,Quercus rubra,1595,Non-Sterile,Heterospecific,AMF,EMF,6/4/18,12.51,NA,-0.02,11.17,11.21,12,42,1,0,Dead
4915,12,A,Quercus rubra,0.063,Low,2016,Quercus rubra,1688,Non-Sterile,Conspecific,EMF,EMF,5/24/18,18.62,13.78,2.42,26.84,9.78,17,59.5,1,0,Dead
3523,9,C,Acer saccharum,0.077,Med,2017,Quercus rubra,984,Non-Sterile,Heterospecific,AMF,EMF,6/4/18,15.11,NA,0.09,10.94,11.15,12,42,1,0,Dead
3574,9,C,Acer saccharum,0.077,Med,2017,Quercus rubra,1454,Non-Sterile,Heterospecific,AMF,EMF,6/4/18,15.11,NA,0.09,10.94,11.15,12,42,1,0,Dead
3597,9,C,Acer saccharum,0.077,Med,2016,Populus grandidentata,1201,Non-Sterile,Heterospecific,AMF,EMF,6/4/18,14,NA,-0.21,11.05,11.32,12,42,1,0,Dead
4927,12,C,Quercus alba,0.047,Low,2017,Prunus serotina,H,Non-Sterile,Heterospecific,EMF,AMF,5/29/18,17.52,29.14,3.66,19.05,20.3,33,115.5,0,0,Alive
3601,9,A,Prunus serotina,0.065,Low,2016,Acer rubrum,1326,Non-Sterile,Heterospecific,AMF,AMF,6/5/18,23.06,NA,0.29,5.13,6.77,12,42,1,0,Dead
3602,9,A,Acer saccharum,0.065,Low,2016,Populus grandidentata,891,Non-Sterile,Heterospecific,AMF,EMF,6/4/18,12.82,NA,-0.22,10.84,11.34,12,42,1,0,Dead
3631,9,C,Acer saccharum,0.077,Med,2016,Populus grandidentata,285,Non-Sterile,Heterospecific,AMF,EMF,6/4/18,14,NA,-0.21,11.05,11.32,12,42,1,0,Dead
4934,12,A,Quercus rubra,0.063,Low,2017,Prunus serotina,689,Non-Sterile,Heterospecific,EMF,AMF,5/31/18,19.59,11.67,2.49,25.67,11.08,33,115.5,0,0,Alive
3652,9,C,Acer saccharum,0.077,Med,2016,Populus grandidentata,118,Non-Sterile,Heterospecific,AMF,EMF,6/4/18,14,NA,-0.21,11.05,11.32,12,42,1,0,Dead
3654,9,C,Acer saccharum,0.077,Med,2016,Populus grandidentata,277,Non-Sterile,Heterospecific,AMF,EMF,6/4/18,14,NA,-0.21,11.05,11.32,12,42,1,0,Dead
3657,9,A,Prunus serotina,0.065,Low,2017,Acer rubrum,50,Non-Sterile,Heterospecific,AMF,AMF,6/5/18,23.06,NA,0.29,5.13,6.77,12,42,1,0,Dead
4943,12,E,Quercus alba,0.035,Low,2017,Sterile,1205,Sterile,Sterilized,EMF,Sterile,5/17/18,8.76,4.7,2.32,18.87,18.64,23,80.5,1,0,Dead
3685,9,D,Acer saccharum,0.073,Low,2016,Quercus alba,1320,Non-Sterile,Heterospecific,AMF,EMF,6/4/18,15.06,NA,-0.04,13.53,12.37,12,42,1,0,Dead
3701,9,E,Prunus serotina,0.071,Low,2017,Sterile,J,Sterile,Sterilized,AMF,Sterile,6/5/18,11.82,NA,0.27,5.42,8.52,12,42,1,0,Dead
3756,9,D,Acer saccharum,0.073,Low,2017,Quercus alba,1715,Non-Sterile,Heterospecific,AMF,EMF,6/4/18,15.06,NA,-0.04,13.53,12.37,12,42,1,0,Dead
3765,9,B,Acer saccharum,0.074,Low,2017,Quercus alba,1205,Non-Sterile,Heterospecific,AMF,EMF,6/4/18,14.68,NA,-0.03,13.67,12.32,12,42,1,0,Dead
4958,12,E,Quercus alba,0.035,Low,2017,Acer saccharum,1757,Non-Sterile,Heterospecific,EMF,AMF,5/22/18,20.31,23.91,4.63,18.56,21.85,23,80.5,1,0,Dead
